MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,SalePrice
20,RL,7200,Reg,Inside,CollgCr,1Fam,1Story,5,5,123000
60,RL,7590,Reg,Inside,NAmes,1Fam,2Story,5,5,169500
30,RM,8967,Reg,Corner,IDOTRR,1Fam,1Story,5,2,67000
60,FV,8125,Reg,Inside,Somerst,1Fam,2Story,7,5,241000
120,RL,14963,IR2,Inside,Veenker,TwnhsE,1Story,8,5,245500
20,RL,8767,IR1,Inside,CollgCr,1Fam,1Story,7,5,164990
30,RL,10200,Reg,Inside,Sawyer,1Fam,1Story,5,8,108000
60,RL,12090,Reg,Corner,NoRidge,1Fam,2Story,8,5,258000
60,RL,10364,IR1,Inside,Gilbert,1Fam,2Story,6,5,168000
20,RL,9991,IR1,Corner,Sawyer,1Fam,1Story,4,4,150000
50,RL,10480,Reg,Inside,SWISU,1Fam,1.5Fin,6,5,115000
70,RL,15576,Reg,Inside,Crawfor,1Fam,2Story,6,7,177000
60,RL,14154,Reg,Corner,NridgHt,1Fam,2Story,7,5,280000
60,FV,10800,Reg,Inside,Somerst,1Fam,2Story,8,5,339750
20,RL,9571,Reg,Inside,Edwards,1Fam,1Story,5,3,60000
190,RL,34650,Reg,Inside,Gilbert,2fmCon,1Story,5,5,145000
20,FV,4403,IR2,Inside,Somerst,1Fam,1Story,7,5,222000
30,RM,8960,Reg,Inside,OldTown,1Fam,1Story,5,6,115000
60,RL,11228,IR2,CulDSac,SawyerW,1Fam,2Story,7,5,228000
20,RL,8899,IR1,Inside,Gilbert,1Fam,1Story,7,5,181134
60,RL,7844,Reg,Inside,Sawyer,1Fam,2Story,6,7,149500
70,RL,22420,IR1,Inside,Crawfor,1Fam,2Story,6,6,239000
50,RL,8160,Reg,Inside,Edwards,1Fam,1.5Fin,5,6,126000
20,RL,8450,Reg,Inside,NAmes,1Fam,1Story,5,6,142000
90,RM,7060,Reg,Inside,Mitchel,Duplex,SFoyer,7,5,206300
20,RL,16635,IR1,FR2,NWAmes,1Fam,1Story,6,7,215000
20,RL,21750,Reg,Inside,Mitchel,1Fam,1Story,5,5,113000
60,RL,9200,Reg,Inside,NoRidge,1Fam,2Story,8,5,315000
20,RL,9000,Reg,Inside,NAmes,1Fam,1Story,6,5,139000
60,RM,3378,Reg,Inside,OldTown,1Fam,2Story,7,8,135000
80,RL,12800,Reg,Inside,SawyerW,1Fam,SLvl,7,5,275000
20,RL,8593,IR1,Inside,NAmes,1Fam,1Story,4,6,109008
20,RL,6762,Reg,Inside,CollgCr,1Fam,1Story,7,5,195400
20,RL,11457,IR1,Corner,Timber,1Fam,1Story,6,5,175000
160,RM,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,85400
160,RM,1920,Reg,Inside,BrDale,TwnhsE,2Story,5,5,122500
60,RL,10839,IR1,Corner,Gilbert,1Fam,2Story,6,5,181000
60,RL,10667,IR2,CulDSac,CollgCr,1Fam,2Story,7,6,212000
50,RM,4400,Reg,Inside,OldTown,1Fam,1.5Fin,6,8,116000
45,RM,6000,Reg,Inside,BrkSide,1Fam,1.5Unf,6,7,119000
30,RL,4280,Reg,Inside,Crawfor,1Fam,1Story,5,6,90350
50,RL,12354,Reg,Corner,Edwards,1Fam,1.5Fin,6,8,110000
20,RL,15431,Reg,Inside,NridgHt,1Fam,1Story,10,5,555000
50,RM,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,5,7,162900
120,RL,3922,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,172500
60,RL,8750,Reg,Inside,CollgCr,1Fam,2Story,7,5,210000
20,RL,9855,Reg,Corner,Edwards,1Fam,1Story,6,5,127500
20,RL,16492,IR1,Corner,NAmes,1Fam,1Story,6,6,190000
60,RL,11214,IR1,Corner,Gilbert,1Fam,2Story,7,5,199900
50,RM,8600,Reg,Inside,IDOTRR,1Fam,1.5Fin,6,6,119500
50,RM,6000,Reg,Inside,OldTown,1Fam,1.5Fin,3,7,120000
30,RM,5684,Reg,Inside,OldTown,1Fam,1Story,6,8,110000
20,RL,70761,IR1,Inside,ClearCr,1Fam,1Story,7,5,280000
60,RL,9303,IR1,Corner,Timber,1Fam,2Story,6,5,204000
60,FV,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,210000
90,RL,9297,Reg,Inside,Mitchel,Duplex,1Story,5,5,188000
20,RL,9600,Reg,Inside,NWAmes,1Fam,1Story,7,6,175500
70,RM,4571,Reg,Inside,OldTown,1Fam,2Story,5,5,98000
20,RL,53227,IR1,CulDSac,ClearCr,1Fam,1Story,4,6,256000
70,RM,5100,Reg,Inside,OldTown,1Fam,2Story,8,7,161000
50,RL,7015,IR1,Corner,BrkSide,1Fam,1.5Fin,5,4,110000
60,FV,8004,IR1,Inside,Somerst,1Fam,2Story,8,5,263435
70,RL,7200,Reg,Inside,SWISU,1Fam,2Story,7,9,155000
20,RL,8281,IR1,Inside,Sawyer,1Fam,1Story,5,5,62383
70,RL,11988,IR1,Inside,Crawfor,1Fam,2Story,6,7,188700
120,RM,3072,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,178740
20,RL,10628,Reg,Inside,NAmes,1Fam,1Story,7,5,167000
70,RL,9480,Reg,Inside,NAmes,1Fam,2Story,5,7,146500
20,RL,11428,IR1,Inside,NridgHt,1Fam,1Story,8,5,250000
60,RL,9291,IR1,Corner,SawyerW,1Fam,2Story,6,5,187000
120,RL,6820,IR1,Corner,StoneBr,TwnhsE,1Story,8,5,212000
60,RL,11952,Reg,Inside,NWAmes,1Fam,2Story,7,6,190000
180,RM,3675,Reg,Inside,Edwards,TwnhsE,SLvl,6,5,148000
20,RL,14977,IR1,Inside,NridgHt,1Fam,1Story,8,5,440000
120,RL,5330,Reg,Inside,StoneBr,TwnhsE,1Story,8,5,251000
20,RL,8480,Reg,Corner,Sawyer,1Fam,1Story,5,6,132500
20,RL,13125,Reg,Inside,CollgCr,1Fam,1Story,6,5,208900
60,RL,13693,Reg,Inside,NridgHt,1Fam,2Story,9,5,380000
20,RL,10637,Reg,Inside,CollgCr,1Fam,1Story,8,5,297000
30,RM,5925,Reg,Inside,OldTown,1Fam,1Story,4,7,89471
20,RL,16033,IR1,FR2,NridgHt,1Fam,1Story,9,5,326000
20,RL,11846,IR1,Inside,NridgHt,1Fam,1Story,9,5,374000
70,RM,2500,Reg,Corner,OldTown,1Fam,2Story,7,8,155000
120,RM,4500,Reg,FR2,Mitchel,Twnhs,1Story,6,5,164000
20,RL,7758,IR1,Corner,Sawyer,1Fam,1Story,5,7,132500
20,RL,9600,Reg,Inside,NAmes,1Fam,1Story,5,7,147000
20,RL,10289,Reg,Inside,NAmes,1Fam,1Story,5,7,156000
20,RL,12243,IR1,Inside,NWAmes,1Fam,1Story,5,6,175000
190,RL,10800,Reg,Corner,OldTown,2fmCon,1.5Fin,5,4,160000
180,RM,1526,Reg,Inside,MeadowV,Twnhs,SFoyer,4,8,86000
160,RM,2665,Reg,Inside,MeadowV,TwnhsE,2Story,5,6,115000
50,RL,9490,Reg,Inside,NAmes,1Fam,1.5Fin,6,7,133000
60,RL,15578,IR1,Corner,Gilbert,1Fam,2Story,6,5,172785
20,RL,7931,Reg,Inside,NAmes,1Fam,1Story,5,6,155000
30,RM,5784,Reg,Inside,OldTown,1Fam,1Story,5,8,91300
20,RL,12692,IR1,Inside,NoRidge,1Fam,1Story,8,5,430000
50,RL,9120,Reg,Inside,BrkSide,1Fam,1.5Fin,7,6,184000
20,RL,7800,Reg,Inside,Sawyer,1Fam,1Story,5,7,130000
20,RL,7535,IR1,Inside,NAmes,1Fam,1Story,5,7,120000
160,RM,1890,Reg,Inside,BrDale,Twnhs,2Story,6,5,113000
60,FV,9803,Reg,Inside,Somerst,1Fam,2Story,7,5,226700
20,RL,9170,Reg,Corner,Edwards,1Fam,1Story,5,7,140000
20,RL,15602,IR1,Inside,Crawfor,1Fam,1Story,7,8,289000
160,RL,2308,Reg,Inside,NPkVill,TwnhsE,2Story,6,5,147000
90,RM,7596,Reg,Inside,OldTown,Duplex,2Story,5,5,124500
60,RL,9554,IR1,Inside,SawyerW,1Fam,2Story,8,5,215000
20,FV,7862,IR1,Inside,Somerst,1Fam,1Story,6,5,208300
70,RM,9600,Reg,Inside,OldTown,1Fam,2Story,7,9,161000
20,RL,9600,Reg,Corner,NAmes,1Fam,1Story,5,6,124500
20,RL,14559,Reg,Inside,NAmes,1Fam,1Story,5,7,164900
120,RL,6792,IR1,Inside,NridgHt,TwnhsE,1Story,7,5,202665
20,RL,9100,Reg,Corner,NAmes,1Fam,1Story,5,5,129900
20,RL,9187,Reg,Corner,Mitchel,1Fam,1Story,6,5,134000
45,RL,10594,Reg,Inside,Crawfor,1Fam,1.5Unf,5,5,96500
20,RL,12220,Reg,Inside,NridgHt,1Fam,1Story,10,5,402861
80,RL,10448,IR1,Corner,NWAmes,1Fam,SLvl,6,6,158000
60,RL,10208,IR1,Inside,NoRidge,1Fam,2Story,7,5,265000
60,RL,9531,IR1,CulDSac,CollgCr,1Fam,2Story,6,5,211000
70,RL,10918,Reg,Inside,Crawfor,1Fam,2Story,7,9,234000
20,RL,11988,IR1,Corner,NAmes,1Fam,1Story,6,6,150000
50,RM,5000,Reg,Corner,BrkSide,1Fam,1.5Fin,6,7,159000
60,RL,40094,IR1,Inside,Edwards,1Fam,2Story,10,5,184750
60,RL,11787,IR1,Inside,NoRidge,1Fam,2Story,7,5,315750
20,FV,7500,Reg,Inside,Somerst,1Fam,1Story,7,5,176000
20,RL,13300,Reg,Inside,NAmes,1Fam,1Story,5,7,132000
60,RL,14948,IR1,Inside,NridgHt,1Fam,2Story,9,5,446261
80,RL,10200,Reg,Inside,Timber,1Fam,SLvl,6,5,175000
70,RM,6155,IR1,FR3,BrkSide,1Fam,2Story,6,8,128000
60,RL,9056,IR1,Inside,Gilbert,1Fam,2Story,8,5,178000
60,RL,8924,IR1,CulDSac,CollgCr,1Fam,2Story,7,5,188000
20,RL,12735,IR1,FR2,NAmes,1Fam,1Story,4,5,111250
20,RL,11553,IR1,Inside,Sawyer,1Fam,1Story,5,5,158000
20,RL,11423,Reg,Inside,CollgCr,1Fam,1Story,8,5,272000
20,RL,14601,Reg,Inside,Timber,1Fam,1Story,9,5,315000
60,RL,11000,Reg,FR2,NoRidge,1Fam,2Story,8,5,248000
20,RL,10140,Reg,Inside,NWAmes,1Fam,1Story,7,5,213250
120,RH,4058,Reg,Inside,NAmes,TwnhsE,SFoyer,7,5,133000
60,RL,17104,IR1,Inside,Gilbert,1Fam,2Story,7,5,179665
50,RL,13837,IR1,Corner,NWAmes,1Fam,1.5Fin,7,5,229000
50,RL,8737,IR1,Inside,BrkSide,1Fam,1.5Fin,6,7,210000
85,RL,7244,Reg,Inside,Mitchel,1Fam,SFoyer,5,7,129500
20,RM,8235,IR1,Inside,OldTown,1Fam,1Story,5,7,125000
60,FV,9375,Reg,Inside,Somerst,1Fam,2Story,7,5,263000
120,RL,4043,Reg,Inside,NPkVill,TwnhsE,1Story,6,6,140000
20,RM,6000,Reg,Inside,OldTown,1Fam,1Story,5,6,112500
20,RL,11146,IR1,Inside,NridgHt,1Fam,1Story,8,5,255500
60,RL,10625,Reg,Inside,NridgHt,1Fam,2Story,7,5,284000
45,RM,6380,Reg,Inside,BrkSide,1Fam,1.5Unf,5,6,113000
20,RL,14850,IR1,Inside,NAmes,1Fam,1Story,5,5,141000
50,C (all),11040,Reg,Inside,IDOTRR,1Fam,1.5Fin,4,6,108000
60,RL,21872,IR2,FR2,Gilbert,1Fam,2Story,7,5,175000
120,RL,3196,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,234000
20,RL,11341,IR1,Inside,Sawyer,1Fam,1Story,5,6,121500
20,RL,10010,Reg,Inside,Mitchel,1Fam,1Story,5,5,170000
50,RL,21780,Reg,Inside,Edwards,1Fam,1.5Fin,6,7,185000
60,RL,13346,IR1,CulDSac,NoRidge,1Fam,2Story,7,5,268000
70,RL,6858,Reg,Corner,SWISU,1Fam,2Story,6,4,128000
60,RL,11198,IR1,Inside,StoneBr,1Fam,2Story,9,5,325000
20,RL,10171,IR1,Inside,NridgHt,1Fam,1Story,7,5,214000
50,RL,12327,IR1,Inside,SawyerW,1Fam,1.5Fin,8,8,316600
90,RL,7032,IR1,Corner,NAmes,Duplex,SFoyer,5,5,135960
90,RL,13101,IR1,Inside,NAmes,Duplex,1Story,5,5,142600
20,RL,7332,Reg,Inside,NAmes,1Fam,1Story,6,6,120000
60,RL,13159,IR1,Corner,Timber,1Fam,2Story,7,5,224500
80,RL,9967,IR1,Inside,Gilbert,1Fam,SLvl,7,5,170000
80,RL,10500,Reg,FR2,NAmes,1Fam,SLvl,5,7,139000
50,RL,8480,Reg,Inside,NAmes,1Fam,1.5Fin,5,5,118500
50,RL,6292,Reg,Inside,SWISU,1Fam,1.5Fin,7,7,145000
80,RL,11777,IR1,Inside,Sawyer,1Fam,SLvl,5,6,164500
160,FV,3604,Reg,Corner,Somerst,TwnhsE,2Story,7,5,146000
50,RM,12150,Reg,Inside,OldTown,1Fam,1.5Fin,5,5,131500
20,RL,14585,IR1,CulDSac,NAmes,1Fam,1Story,6,6,181900
20,RL,12704,Reg,Inside,NridgHt,1Fam,1Story,8,5,253293
75,RM,13500,Reg,Inside,OldTown,1Fam,2.5Unf,10,9,325000
50,RM,6120,Reg,Inside,BrkSide,1Fam,1.5Fin,4,7,133000
20,RL,11443,Reg,Inside,Timber,1Fam,1Story,8,5,369900
30,RL,10267,Reg,Inside,BrkSide,1Fam,1Story,6,7,130000
85,RL,8740,IR1,Inside,Sawyer,1Fam,SFoyer,5,6,137000
20,RL,25095,IR1,Inside,ClearCr,1Fam,1Story,5,8,143000
40,RM,9100,Reg,Inside,BrkSide,1Fam,1Story,5,6,79500
60,RL,8320,Reg,Inside,CollgCr,1Fam,2Story,7,5,185900
60,RL,13478,IR1,Corner,NridgHt,1Fam,2Story,10,5,451950
20,RL,6600,Reg,Inside,Mitchel,1Fam,1Story,5,8,138000
120,RM,4435,Reg,Inside,CollgCr,TwnhsE,1Story,6,5,140000
20,RL,7990,IR1,Inside,CollgCr,1Fam,1Story,5,6,110000
20,RL,11302,IR1,Inside,StoneBr,1Fam,1Story,8,5,319000
70,RM,3600,Reg,Inside,OldTown,1Fam,2Story,6,7,114504
120,RL,3922,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,194201
20,RL,12984,Reg,Inside,Crawfor,1Fam,1Story,5,6,217500
160,RM,1950,Reg,Inside,Blueste,Twnhs,2Story,6,6,151000
60,RL,10927,Reg,Inside,NridgHt,1Fam,2Story,8,5,275000
50,RM,9000,Reg,Inside,IDOTRR,1Fam,1.5Fin,6,6,141000
60,RL,10041,IR1,Inside,SawyerW,1Fam,2Story,8,5,220000
160,FV,3182,Reg,Inside,Somerst,TwnhsE,2Story,7,5,151000
20,RL,12803,IR1,Inside,CollgCr,1Fam,1Story,7,5,221000
60,RL,13600,Reg,Inside,NAmes,1Fam,2Story,7,6,205000
20,RL,12464,IR2,Corner,CollgCr,1Fam,1Story,5,5,152000
20,RL,7800,Reg,Inside,Edwards,1Fam,2Story,5,8,225000
70,RL,12168,Reg,Inside,Crawfor,1Fam,2Story,8,6,359100
20,RL,7943,Reg,Inside,Sawyer,1Fam,1Story,4,5,118500
60,RL,11050,Reg,Inside,CollgCr,1Fam,2Story,9,5,313000
80,RL,10395,IR1,FR2,NWAmes,1Fam,SLvl,6,6,148000
60,RL,11885,Reg,Inside,CollgCr,1Fam,2Story,8,5,261500
85,RL,8800,Reg,Inside,NAmes,1Fam,SFoyer,6,7,137500
60,RL,7861,IR1,Inside,Gilbert,1Fam,2Story,6,5,183200
45,RL,7227,Reg,Corner,NAmes,1Fam,1.5Unf,6,6,105500
20,RL,11694,Reg,Inside,NridgHt,1Fam,1Story,9,5,314813
60,RL,12244,Reg,Inside,Timber,1Fam,2Story,8,5,305000
60,RL,10800,Reg,Inside,NWAmes,1Fam,2Story,6,7,240000
20,RL,7064,Reg,Inside,Sawyer,1Fam,1Story,5,6,135000
160,FV,2117,Reg,Inside,Somerst,TwnhsE,2Story,6,5,168500
60,RL,10400,Reg,Inside,NWAmes,1Fam,2Story,6,5,165150
20,RL,10000,IR1,Corner,NAmes,1Fam,1Story,6,6,160000
20,RL,12342,IR1,Inside,NAmes,1Fam,1Story,5,5,139900
80,RL,9600,Reg,Inside,NAmes,1Fam,SLvl,6,6,153000
60,RL,11606,IR1,Inside,NAmes,1Fam,2Story,5,5,135000
80,RL,9020,Reg,Corner,NAmes,1Fam,SLvl,6,5,168500
70,RM,9000,Reg,Corner,OldTown,1Fam,2Story,5,6,124000
120,RL,4590,Reg,Inside,NridgHt,Twnhs,1Story,8,5,209500
20,RL,11900,Reg,Inside,NWAmes,1Fam,1Story,7,5,82500
20,RL,9250,Reg,Corner,NAmes,1Fam,1Story,5,7,139400
90,RL,6979,Reg,Inside,OldTown,Duplex,SFoyer,6,5,144000
190,RM,6000,Reg,Inside,OldTown,2fmCon,1.5Fin,5,4,93000
120,RL,3982,Reg,Inside,Blmngtn,TwnhsE,1Story,8,5,264561
120,RL,12677,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,274000
60,FV,7050,Reg,Inside,Somerst,1Fam,2Story,7,5,226000
80,RL,13860,Reg,Inside,NAmes,1Fam,SLvl,8,7,345000
60,RL,10793,Reg,Inside,NWAmes,1Fam,2Story,5,5,152000
20,FV,9187,Reg,Inside,Somerst,1Fam,1Story,9,5,370878
20,RL,10530,IR1,Corner,NAmes,1Fam,1Story,6,5,143250
20,RL,10452,IR1,Inside,Edwards,1Fam,1Story,6,5,155000
60,RL,7700,Reg,Inside,NAmes,1Fam,2Story,6,5,155000
70,RL,9084,Reg,Inside,Edwards,1Fam,2Story,4,5,108000
60,RL,8750,Reg,Inside,CollgCr,1Fam,2Story,7,5,191000
50,RM,10320,Reg,Inside,IDOTRR,1Fam,1.5Fin,6,7,135000
20,RL,10437,IR1,Inside,NoRidge,1Fam,1Story,8,6,350000
160,RM,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,88000
20,RL,10007,IR1,Inside,NAmes,1Fam,1Story,5,7,145500
70,RL,7200,Reg,Inside,Crawfor,1Fam,2Story,7,6,149000
50,RL,17503,Reg,Inside,NAmes,1Fam,1.5Fin,6,5,97500
20,RL,9937,Reg,Corner,Edwards,1Fam,1Story,5,7,167000
60,RL,12384,Reg,CulDSac,NWAmes,1Fam,2Story,7,7,197900
60,RL,46589,IR2,CulDSac,NoRidge,1Fam,2Story,8,7,402000
20,RL,13560,Reg,Corner,NAmes,1Fam,1Story,6,3,110000
85,RL,10012,Reg,Inside,Edwards,1Fam,SFoyer,4,5,137500
20,RL,20896,IR2,CulDSac,Somerst,1Fam,1Story,8,5,423000
60,RL,11194,IR1,Corner,Gilbert,1Fam,2Story,8,5,230500
60,RL,18450,IR1,Inside,NAmes,1Fam,2Story,6,5,129000
20,RL,8125,Reg,Inside,SawyerW,1Fam,1Story,6,5,193500
20,RL,14175,Reg,Corner,Sawyer,1Fam,1Story,5,6,168000
30,RL,11600,Reg,Inside,Crawfor,1Fam,1Story,4,5,137500
60,RL,8633,Reg,FR2,CollgCr,1Fam,2Story,6,5,173500
70,RH,6629,Reg,Inside,Edwards,1Fam,2Story,6,6,103600
20,RL,11250,IR1,Inside,Veenker,1Fam,1Story,6,6,165000
20,RL,14442,Reg,Inside,Crawfor,1Fam,1Story,6,7,257500
20,RL,9200,Reg,Inside,NAmes,1Fam,1Story,6,6,140000
160,RL,2289,Reg,Inside,NPkVill,Twnhs,2Story,6,6,148500
70,RM,9600,Reg,Inside,OldTown,1Fam,2Story,4,2,87000
30,RL,9022,Reg,Inside,OldTown,1Fam,1Story,5,8,109500
20,RL,11844,IR1,Inside,StoneBr,1Fam,1Story,8,5,372500
20,RL,9945,IR1,Inside,Sawyer,1Fam,1Story,5,5,128500
120,RL,8012,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,143000
50,RH,4500,IR2,Inside,SWISU,1Fam,1.5Fin,5,5,159434
120,RL,2887,Reg,Inside,ClearCr,1Fam,1Story,6,5,173000
20,RL,11248,IR1,Corner,CollgCr,1Fam,1Story,9,5,285000
60,RL,16770,IR2,CulDSac,NoRidge,1Fam,2Story,7,5,221000
160,RL,5062,IR1,CulDSac,StoneBr,TwnhsE,2Story,7,5,207500
60,FV,10207,Reg,Inside,Somerst,1Fam,2Story,7,6,227875
160,FV,5105,IR2,FR2,Somerst,TwnhsE,2Story,7,5,148800
20,RL,8089,Reg,Inside,StoneBr,1Fam,1Story,8,6,392000
120,RL,7577,IR1,Corner,NridgHt,TwnhsE,1Story,6,5,194700
120,RM,4426,Reg,Inside,CollgCr,TwnhsE,1Story,6,5,141000
60,RL,21535,IR1,Corner,NoRidge,1Fam,2Story,10,6,755000
60,RL,26178,IR1,Inside,Timber,1Fam,2Story,7,5,335000
30,RL,5400,Reg,Corner,OldTown,1Fam,1Story,5,6,108480
50,RM,6120,Reg,Corner,BrkSide,1Fam,1.5Fin,5,6,141500
20,RL,13811,IR1,Inside,Timber,1Fam,1Story,6,6,176000
30,RM,6000,Reg,Inside,BrkSide,1Fam,1Story,5,7,89000
20,RL,6420,IR1,Inside,Edwards,1Fam,1Story,5,7,123500
20,RL,8450,Reg,Inside,Sawyer,1Fam,1Story,5,8,138500
120,FV,4282,IR2,Inside,Somerst,TwnhsE,1Story,7,5,196000
20,RL,14331,Reg,Inside,Timber,1Fam,1Story,8,5,312500
20,RL,9600,Reg,Inside,NWAmes,1Fam,1Story,7,5,140000
60,RL,12438,IR1,Inside,StoneBr,1Fam,2Story,8,5,361919
190,RM,7630,Reg,Inside,OldTown,2fmCon,2Story,5,9,140000
20,RL,8400,Reg,Inside,CollgCr,1Fam,1Story,7,5,213000
20,RL,115149,IR2,CulDSac,ClearCr,1Fam,1Story,7,5,302000
120,RL,6240,Reg,Inside,NridgHt,TwnhsE,1Story,8,5,254000
60,RL,9018,IR1,Inside,Gilbert,1Fam,2Story,7,5,179540
20,RL,7162,IR1,Inside,Sawyer,1Fam,1Story,5,7,109900
50,C (all),8712,Reg,Inside,IDOTRR,1Fam,1.5Fin,4,7,102776
120,RL,4671,IR1,Inside,StoneBr,TwnhsE,1Story,8,5,189000
190,RL,9873,Reg,Inside,BrkSide,2fmCon,1Story,4,5,129000
60,RL,13517,IR1,CulDSac,Sawyer,1Fam,2Story,6,8,130500
20,RL,10140,Reg,Inside,NWAmes,1Fam,1Story,6,5,165000
70,RM,10800,Reg,Inside,OldTown,1Fam,2Story,7,8,159500
20,RL,10000,Reg,Inside,NWAmes,1Fam,1Story,5,6,157000
60,RL,10542,Reg,Inside,NoRidge,1Fam,2Story,7,5,341000
20,RL,9920,IR1,Inside,CollgCr,1Fam,1Story,5,6,128500
120,RL,6563,IR1,CulDSac,StoneBr,1Fam,1Story,8,5,275000
120,RM,4426,Reg,Inside,CollgCr,TwnhsE,1Story,6,5,143000
20,RL,8120,Reg,Inside,NAmes,1Fam,1Story,4,7,124500
50,RL,8172,Reg,Inside,Edwards,1Fam,1.5Fin,4,6,135000
20,RL,13286,IR1,Inside,Edwards,1Fam,1Story,9,5,320000
20,RL,6960,Reg,Inside,NAmes,1Fam,1Story,4,6,120500
20,RL,21695,IR1,Corner,Crawfor,1Fam,1Story,6,9,222000
20,RL,7314,Reg,Inside,CollgCr,1Fam,1Story,7,5,194500
90,RL,11475,Reg,Corner,NAmes,Duplex,1Story,5,5,110000
30,RM,6240,Reg,Inside,IDOTRR,1Fam,1.5Fin,4,5,103000
120,RL,5389,IR1,Inside,StoneBr,TwnhsE,1Story,8,5,236500
80,RL,9590,IR1,Corner,Timber,1Fam,SLvl,7,5,187500
60,RL,11404,IR1,Inside,CollgCr,1Fam,2Story,7,5,222500
20,RL,10000,Reg,Corner,Sawyer,1Fam,1Story,5,6,131400
20,RL,8978,IR1,Corner,Sawyer,1Fam,1Story,5,5,108000
75,RM,10800,Reg,Inside,OldTown,1Fam,2.5Unf,7,7,163000
60,RL,10463,IR1,CulDSac,Gilbert,1Fam,2Story,8,5,239900
60,RL,9313,IR1,Inside,CollgCr,1Fam,2Story,7,5,190000
70,RM,9600,Reg,Inside,OldTown,1Fam,2Story,5,7,132000
20,RL,6768,IR1,Inside,Sawyer,1Fam,1Story,6,8,142000
20,RL,8450,Reg,Inside,SawyerW,1Fam,1Story,7,5,179000
80,RL,12886,IR1,Inside,Sawyer,1Fam,SLvl,5,6,175000
120,RL,5395,IR1,Inside,StoneBr,TwnhsE,1Story,8,5,180000
60,RL,8963,IR1,Inside,NWAmes,1Fam,2Story,8,9,299800
60,RL,8795,IR1,Inside,Gilbert,1Fam,2Story,7,5,236000
70,RM,11700,IR1,Corner,OldTown,1Fam,2Story,7,7,265979
20,RL,10593,IR1,Inside,NoRidge,1Fam,1Story,7,5,260400
60,RL,7750,Reg,Inside,Gilbert,1Fam,2Story,7,5,162000
20,RL,9236,IR1,Inside,CollgCr,1Fam,1Story,6,5,217000
60,RL,10240,Reg,Inside,NridgHt,1Fam,2Story,8,5,275500
20,RL,7930,Reg,Inside,NAmes,1Fam,1Story,6,8,156000
160,FV,3230,Reg,Inside,Somerst,TwnhsE,2Story,6,5,172500
60,RL,10769,IR1,Inside,CollgCr,1Fam,2Story,8,5,212000
60,RL,11616,IR1,CulDSac,Sawyer,1Fam,2Story,6,5,158900
160,FV,2280,Reg,Inside,Somerst,Twnhs,2Story,7,5,179400
60,RL,12257,IR1,Inside,NoRidge,1Fam,2Story,8,5,290000
20,RL,9100,Reg,Inside,NAmes,1Fam,1Story,6,6,127500
30,RM,6911,Reg,FR2,BrkSide,1Fam,1Story,5,5,100000
60,FV,8640,Reg,Inside,Somerst,1Fam,2Story,7,5,215200
60,RL,9430,Reg,Inside,NoRidge,1Fam,2Story,8,5,337000
120,RL,9549,IR1,CulDSac,Veenker,TwnhsE,1Story,8,5,270000
20,RL,14587,IR1,Inside,Somerst,1Fam,1Story,9,5,264132
60,RL,10421,Reg,Inside,NWAmes,1Fam,2Story,7,5,196500
50,RL,12508,IR1,Inside,Mitchel,1Fam,1.5Fin,6,7,160000
20,RL,9100,Reg,Inside,CollgCr,1Fam,1Story,7,5,216837
60,RL,53504,IR2,CulDSac,StoneBr,1Fam,2Story,8,5,538000
85,RL,7252,IR1,CulDSac,Sawyer,1Fam,SFoyer,5,5,134900
20,RL,8877,Reg,Inside,Edwards,1Fam,1Story,4,5,102000
80,RL,7819,Reg,Inside,Edwards,1Fam,SLvl,6,5,107000
20,RL,10150,Reg,Inside,NAmes,1Fam,1Story,5,5,114500
20,RL,14226,Reg,Corner,NridgHt,1Fam,1Story,8,5,395000
120,RM,4500,Reg,FR2,Mitchel,TwnhsE,1Story,6,5,162000
20,RL,11210,IR1,Inside,CollgCr,1Fam,1Story,7,5,221500
20,RL,13350,IR1,Inside,Sawyer,1Fam,1Story,5,5,142500
90,RL,10530,Reg,Inside,Mitchel,Duplex,SFoyer,6,5,135000
20,RL,7875,Reg,Inside,Gilbert,1Fam,1Story,7,5,176000
60,RL,7153,Reg,Inside,SawyerW,1Fam,2Story,6,5,175900
20,RL,16285,IR2,Inside,CollgCr,1Fam,1Story,7,5,187100
85,RL,9101,IR1,Corner,Mitchel,1Fam,SFoyer,5,6,165500
20,RL,9790,Reg,Inside,NWAmes,1Fam,1Story,6,5,161500
50,RM,10800,Reg,Inside,OldTown,1Fam,1.5Fin,5,6,139000
60,RL,10142,IR1,Inside,SawyerW,1Fam,2Story,7,5,233000
20,RM,6000,Reg,Corner,OldTown,1Fam,1Story,4,7,107900
60,RL,12205,IR1,Inside,ClearCr,1Fam,2Story,6,8,187500
