YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,SalePrice
1976,1976,Gable,CemntBd,CmentBd,None,0,TA,TA,PConc,134000
1958,1958,Hip,Wd Sdng,ImStucc,BrkFace,120,TA,TA,CBlock,130000
1998,1998,Gable,VinylSd,VinylSd,BrkFace,530,Gd,TA,PConc,280000
1978,1978,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,156000
1940,1982,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,145000
1972,2007,Gable,HdBoard,HdBoard,BrkFace,510,TA,TA,CBlock,118000
1976,1976,Gable,HdBoard,HdBoard,BrkFace,120,TA,TA,PConc,190000
1920,1997,Hip,VinylSd,VinylSd,None,0,TA,Gd,CBlock,147000
1963,1963,Gable,Plywood,Plywood,BrkFace,247,TA,TA,CBlock,159000
1962,1962,Gable,Plywood,Plywood,BrkFace,305,TA,TA,CBlock,165000
1954,1954,Gable,HdBoard,HdBoard,BrkFace,200,TA,TA,PConc,132000
1959,2006,Gable,Wd Sdng,Wd Sdng,None,0,TA,Gd,CBlock,162000
2000,2000,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,172400
1984,1984,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,125000
1953,1953,Gable,MetalSd,MetalSd,None,0,TA,TA,PConc,123000
2003,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,219500
1996,1996,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,148000
2004,2005,Gable,CemntBd,CmentBd,None,0,Gd,TA,PConc,340000
2010,2010,Hip,VinylSd,VinylSd,Stone,350,Gd,TA,PConc,394432
2000,2000,Gable,VinylSd,VinylSd,BrkFace,16,TA,TA,PConc,179000
1924,1950,Gable,BrkFace,Wd Sdng,None,0,TA,TA,BrkTil,127000
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,187750
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,213500
1928,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,76000
1992,1992,Gable,HdBoard,HdBoard,None,0,Gd,TA,PConc,240000
2004,2005,Gable,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,192000
1976,1976,Hip,MetalSd,MetalSd,BrkFace,255,TA,TA,CBlock,125000
1999,2000,Gable,VinylSd,VinylSd,BrkFace,125,Gd,TA,PConc,191000
2007,2008,Gable,VinylSd,VinylSd,Stone,272,Ex,TA,PConc,426000
1900,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,119000
2001,2002,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,215000
1940,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,109000
1956,1956,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,129000
1972,1972,Hip,MetalSd,MetalSd,None,0,TA,TA,CBlock,123000
1962,1962,Gable,VinylSd,VinylSd,BrkFace,288,TA,TA,CBlock,169500
1920,1950,Gable,MetalSd,MetalSd,None,0,TA,Fa,BrkTil,67000
2006,2007,Gable,CemntBd,CmentBd,Stone,100,Gd,TA,PConc,241000
1996,1996,Gable,BrkFace,BrkFace,None,0,Gd,TA,PConc,245500
2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,164990
1940,1997,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,108000
1998,1998,Hip,VinylSd,VinylSd,BrkFace,650,Gd,TA,PConc,258000
1995,1996,Gable,MetalSd,MetalSd,None,0,TA,TA,PConc,168000
1976,1993,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,150000
1936,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,115000
1915,1976,Gable,Wd Sdng,Plywood,None,0,TA,TA,BrkTil,177000
2006,2006,Gable,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,280000
2007,2008,Gable,VinylSd,VinylSd,Stone,100,Gd,TA,PConc,339750
1958,1958,Gable,BrkComm,Brk Cmn,None,0,TA,Fa,CBlock,60000
1955,1955,Hip,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,145000
2009,2009,Gable,MetalSd,MetalSd,Stone,432,Ex,TA,PConc,222000
1927,1950,Gable,WdShing,Wd Shng,None,0,TA,TA,CBlock,115000
1993,1993,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,228000
2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,181134
1978,1978,Hip,HdBoard,HdBoard,BrkFace,203,TA,TA,CBlock,149500
1918,1950,Hip,Wd Sdng,Stucco,None,0,TA,TA,BrkTil,239000
1940,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,126000
1968,1968,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,142000
1997,1998,Gable,VinylSd,VinylSd,BrkFace,200,TA,Gd,PConc,206300
1977,2000,Gable,CemntBd,CmentBd,Stone,126,Gd,TA,CBlock,215000
1954,1954,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,113000
1998,1998,Gable,VinylSd,VinylSd,BrkFace,473,Gd,TA,PConc,315000
1956,1956,Gable,Wd Sdng,Wd Sdng,BrkFace,74,TA,TA,CBlock,139000
1946,1992,Gable,HdBoard,HdBoard,None,0,TA,Gd,CBlock,135000
1989,1989,Gable,Wd Sdng,Wd Sdng,BrkFace,145,Gd,TA,PConc,275000
1957,1957,Hip,MetalSd,MetalSd,None,0,TA,TA,CBlock,109008
2007,2007,Gable,VinylSd,VinylSd,BrkFace,108,Gd,TA,PConc,195400
1988,1988,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,175000
1971,1971,Gable,HdBoard,HdBoard,BrkFace,232,TA,TA,CBlock,85400
1971,1971,Gable,HdBoard,HdBoard,BrkFace,376,TA,TA,CBlock,122500
1997,1998,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,181000
1996,1996,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,212000
1920,1950,Gable,Stucco,Stucco,None,0,TA,TA,BrkTil,116000
1926,2004,Gable,Wd Sdng,Wd Sdng,None,0,Gd,TA,PConc,119000
1913,2002,Gable,WdShing,Stucco,None,0,TA,TA,PConc,90350
1920,2000,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,110000
2008,2008,Hip,VinylSd,VinylSd,Stone,200,Ex,TA,PConc,555000
1930,1992,Gable,MetalSd,MetalSd,None,0,TA,TA,PConc,162900
2006,2007,Gable,WdShing,Wd Shng,BrkFace,72,Gd,TA,PConc,172500
1994,1995,Gable,VinylSd,VinylSd,None,0,Gd,Gd,PConc,210000
1956,1956,Hip,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,127500
1966,2002,Gable,BrkFace,Plywood,None,0,Gd,TA,CBlock,190000
1998,1999,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,199900
1937,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,119500
1948,2002,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,120000
1930,2005,Hip,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,110000
1975,1975,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,280000
1996,1997,Hip,VinylSd,VinylSd,BrkFace,42,Gd,TA,PConc,204000
2008,2008,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,210000
1976,1976,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,188000
1973,1973,Hip,HdBoard,HdBoard,BrkFace,320,TA,TA,CBlock,175500
1916,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,BrkTil,98000
1954,1994,Flat,Plywood,Plywood,None,0,TA,TA,CBlock,256000
1925,1996,Hip,Stucco,Wd Shng,None,0,TA,Gd,PConc,161000
1950,1950,Gable,MetalSd,MetalSd,BrkCmn,161,TA,TA,CBlock,110000
2009,2009,Gable,VinylSd,VinylSd,Stone,110,Gd,TA,PConc,263435
1936,2007,Gable,Wd Sdng,Wd Sdng,None,0,Gd,Gd,PConc,155000
1965,1965,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,62383
1934,1995,Hip,Stucco,Stucco,None,0,TA,TA,CBlock,188700
2004,2004,Hip,VinylSd,VinylSd,BrkFace,18,Gd,TA,PConc,178740
1970,1970,Flat,Plywood,Plywood,None,0,TA,Gd,CBlock,167000
1942,1995,Gable,MetalSd,MetalSd,Stone,224,TA,TA,CBlock,146500
2006,2006,Gable,VinylSd,VinylSd,Stone,248,Gd,TA,PConc,250000
1993,1993,Gable,HdBoard,HdBoard,BrkFace,120,Gd,TA,PConc,187000
1985,1985,Gable,HdBoard,HdBoard,None,0,Gd,TA,PConc,212000
1977,1977,Mansard,WdShing,Plywood,None,0,TA,TA,CBlock,190000
2005,2005,Gable,VinylSd,VinylSd,BrkFace,80,TA,TA,PConc,148000
2006,2007,Gable,VinylSd,VinylSd,BrkFace,304,Gd,TA,PConc,440000
2000,2000,Gable,CemntBd,CmentBd,None,0,Gd,TA,PConc,251000
1963,1963,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,132500
1997,1998,Gable,VinylSd,VinylSd,BrkFace,215,TA,TA,PConc,208900
2006,2006,Hip,VinylSd,VinylSd,BrkFace,772,Ex,TA,PConc,380000
2007,2008,Hip,VinylSd,VinylSd,Stone,336,Gd,TA,PConc,297000
1937,2000,Hip,Stucco,Stucco,BrkCmn,435,TA,TA,BrkTil,89471
2004,2005,Hip,VinylSd,VinylSd,BrkFace,378,Gd,TA,PConc,326000
2003,2004,Hip,VinylSd,VinylSd,BrkFace,562,Gd,TA,PConc,374000
1915,2005,Gable,Stucco,Stucco,None,0,Gd,TA,PConc,155000
1998,1998,Hip,VinylSd,VinylSd,BrkFace,116,TA,TA,PConc,164000
1962,2001,Gable,HdBoard,Plywood,None,0,TA,Gd,CBlock,132500
1950,2007,Gable,MetalSd,MetalSd,None,0,Gd,TA,CBlock,147000
1965,1965,Hip,MetalSd,MetalSd,BrkFace,168,TA,TA,CBlock,156000
1971,1971,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,175000
1900,1970,Gable,Wd Sdng,Wd Sdng,None,0,TA,Fa,CBlock,160000
1970,2002,Gable,CemntBd,CmentBd,None,0,TA,Gd,CBlock,86000
1976,1976,Gable,CemntBd,CmentBd,None,0,TA,TA,PConc,115000
1941,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,133000
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,172785
1960,1960,Gable,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,155000
1938,1996,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,91300
1992,1993,Hip,BrkFace,BrkFace,None,0,Gd,TA,PConc,430000
1925,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,Gd,PConc,184000
1967,2004,Hip,HdBoard,HdBoard,BrkFace,89,TA,TA,PConc,130000
1958,1985,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,120000
1973,1973,Gable,HdBoard,HdBoard,BrkFace,285,TA,TA,CBlock,113000
2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,226700
1965,1965,Hip,MetalSd,MetalSd,None,0,TA,TA,CBlock,140000
1959,1997,Gable,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,289000
1974,1974,Gable,Plywood,Brk Cmn,None,0,TA,TA,CBlock,147000
1952,1952,Hip,Wd Sdng,Wd Sdng,BrkFace,360,TA,TA,CBlock,124500
1993,1994,Gable,VinylSd,VinylSd,BrkFace,125,Gd,TA,PConc,215000
2009,2009,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,208300
1928,2005,Gambrel,MetalSd,MetalSd,None,0,TA,Ex,BrkTil,161000
1959,1959,Gable,MetalSd,MetalSd,BrkFace,132,TA,TA,CBlock,124500
1951,2000,Hip,Wd Sdng,Wd Sdng,BrkCmn,70,Gd,TA,CBlock,164900
2005,2006,Gable,VinylSd,VinylSd,Stone,94,Gd,TA,PConc,202665
1958,1958,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,129900
1983,1983,Gable,VinylSd,VinylSd,None,0,TA,Gd,PConc,134000
1926,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,96500
2009,2009,Hip,CemntBd,CmentBd,BrkFace,305,Ex,TA,CBlock,402861
1972,1972,Gable,HdBoard,HdBoard,BrkFace,333,TA,TA,CBlock,158000
1996,1997,Gable,VinylSd,VinylSd,BrkFace,921,Gd,TA,PConc,265000
1998,1998,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,211000
1926,2004,Gambrel,MetalSd,MetalSd,None,0,Gd,TA,BrkTil,234000
1957,1957,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,150000
1947,1950,Gable,CemntBd,CmentBd,None,0,TA,Gd,CBlock,159000
2007,2008,Hip,CemntBd,CmentBd,Stone,762,Ex,TA,PConc,184750
1996,1997,Gable,VinylSd,VinylSd,BrkFace,594,Gd,TA,PConc,315750
2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,176000
1956,2000,Hip,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,132000
2008,2008,Hip,VinylSd,VinylSd,Stone,268,Ex,TA,PConc,446261
1988,1989,Gable,HdBoard,HdBoard,BrkFace,219,Gd,TA,CBlock,175000
1920,1999,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,128000
2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,178000
1998,1999,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,188000
1972,1972,Hip,MetalSd,MetalSd,None,0,TA,TA,CBlock,111250
1968,1968,Hip,Plywood,Plywood,BrkFace,188,TA,TA,CBlock,158000
2001,2002,Gable,VinylSd,VinylSd,BrkFace,479,Gd,TA,PConc,272000
2006,2006,Hip,VinylSd,VinylSd,BrkFace,584,Ex,TA,PConc,315000
2000,2000,Gable,VinylSd,VinylSd,BrkFace,72,Gd,TA,PConc,248000
1998,1999,Hip,VinylSd,VinylSd,None,0,Gd,TA,PConc,213250
1998,1998,Gable,MetalSd,MetalSd,BrkFace,182,TA,TA,PConc,133000
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,179665
1988,1988,Gable,HdBoard,HdBoard,BrkFace,178,Gd,Gd,PConc,229000
1923,1950,Gable,BrkFace,Wd Sdng,None,0,TA,TA,BrkTil,210000
1970,1970,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,129500
1955,1995,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,125000
2003,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,263000
1977,1977,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,140000
1957,1957,Hip,BrkFace,BrkFace,None,0,TA,TA,CBlock,112500
2006,2006,Gable,VinylSd,VinylSd,Stone,250,Gd,TA,PConc,255500
2003,2004,Gable,VinylSd,VinylSd,BrkFace,292,Gd,TA,PConc,284000
1922,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,113000
1957,1957,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,141000
1920,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,108000
1996,1997,Gable,HdBoard,HdBoard,None,0,TA,TA,PConc,175000
2003,2004,Gable,VinylSd,VinylSd,BrkFace,18,Gd,TA,PConc,234000
1957,1996,Hip,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,121500
1974,1975,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,170000
1918,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,185000
1992,2000,Gable,HdBoard,HdBoard,None,0,Gd,TA,PConc,268000
1915,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,128000
2005,2007,Hip,VinylSd,VinylSd,BrkFace,245,Gd,TA,PConc,325000
2004,2004,Gable,VinylSd,VinylSd,BrkFace,168,Gd,TA,PConc,214000
1983,2009,Gable,Wd Sdng,Wd Sdng,None,0,Gd,TA,CBlock,316600
1979,1979,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,135960
1965,1965,Gable,HdBoard,HdBoard,BrkFace,108,TA,TA,CBlock,142600
1959,1959,Gable,WdShing,Wd Shng,BrkFace,207,TA,TA,CBlock,120000
2009,2009,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,224500
2000,2000,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,170000
1971,2005,Gambrel,MetalSd,AsphShn,BrkFace,82,TA,TA,CBlock,139000
1947,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,118500
1928,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,145000
1966,1966,Gable,VinylSd,VinylSd,BrkFace,97,TA,TA,CBlock,164500
2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,146000
1954,1954,Gable,MetalSd,MetalSd,BrkFace,335,TA,TA,BrkTil,131500
1960,1987,Gable,Wd Sdng,Wd Sdng,BrkFace,85,TA,TA,CBlock,181900
2008,2009,Hip,VinylSd,VinylSd,BrkFace,306,Ex,TA,PConc,253293
1893,2000,Gable,Wd Sdng,Wd Sdng,None,0,Ex,Ex,BrkTil,325000
1935,1995,Gable,AsbShng,AsbShng,None,0,TA,TA,BrkTil,133000
2005,2006,Hip,VinylSd,VinylSd,BrkFace,208,Gd,TA,PConc,369900
1918,2000,Gable,Stucco,Wd Shng,None,0,TA,Gd,BrkTil,130000
1982,1982,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,137000
1968,2003,Flat,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,143000
1930,1960,Gable,VinylSd,VinylSd,None,0,TA,TA,BrkTil,79500
2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,185900
2008,2008,Gable,CemntBd,CmentBd,Stone,420,Ex,TA,PConc,451950
1982,2003,Gable,HdBoard,HdBoard,None,0,TA,Gd,PConc,138000
2003,2003,Gable,VinylSd,VinylSd,BrkFace,170,Gd,TA,PConc,140000
1975,1975,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,110000
2005,2006,Gable,VinylSd,Other,BrkFace,238,Gd,TA,PConc,319000
1910,1993,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,114504
2006,2007,Gable,VinylSd,VinylSd,BrkFace,72,Gd,TA,PConc,194201
1977,1977,Gable,Plywood,Plywood,BrkFace,459,TA,TA,CBlock,217500
1980,1980,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,151000
2005,2005,Gable,VinylSd,VinylSd,BrkFace,280,Gd,TA,PConc,275000
1937,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,Gd,PConc,141000
1992,1992,Gable,HdBoard,HdBoard,None,0,Gd,TA,PConc,220000
2004,2005,Gable,MetalSd,MetalSd,None,0,Gd,TA,PConc,151000
2002,2002,Gable,VinylSd,VinylSd,BrkFace,99,Gd,TA,PConc,221000
1965,1990,Gable,HdBoard,HdBoard,BrkFace,176,TA,TA,CBlock,205000
1996,1996,Gable,VinylSd,VinylSd,None,0,TA,Gd,PConc,152000
1948,2002,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,225000
1934,1998,Gable,BrkFace,Wd Sdng,None,0,TA,TA,PConc,359100
1961,1961,Gable,VinylSd,VinylSd,BrkCmn,192,TA,Fa,CBlock,118500
2000,2000,Hip,VinylSd,VinylSd,BrkFace,204,Gd,TA,PConc,313000
1978,1978,Gable,HdBoard,HdBoard,BrkFace,233,TA,TA,CBlock,148000
2001,2001,Gable,VinylSd,VinylSd,BrkFace,108,Gd,TA,PConc,261500
1963,1963,Gable,MetalSd,MetalSd,BrkFace,156,TA,Gd,PConc,137500
2002,2003,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,183200
1954,1954,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,105500
2007,2007,Hip,CemntBd,CmentBd,BrkFace,452,Ex,TA,PConc,314813
2003,2003,Hip,VinylSd,VinylSd,Stone,226,Gd,TA,PConc,305000
1974,1997,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,240000
1977,1977,Gable,Plywood,Plywood,BrkFace,153,TA,TA,CBlock,135000
2000,2000,Gable,MetalSd,MetalSd,BrkFace,513,Gd,TA,PConc,168500
1972,1972,Gable,VinylSd,VinylSd,None,288,TA,TA,CBlock,165150
1962,1962,Hip,Wd Sdng,Wd Sdng,BrkFace,261,TA,TA,CBlock,160000
1960,1978,Hip,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,139900
1955,1972,Gable,AsbShng,AsbShng,BrkFace,164,TA,TA,CBlock,153000
1969,1969,Gable,Plywood,Plywood,BrkFace,192,TA,TA,PConc,135000
1964,1964,Gable,Plywood,Wd Sdng,BrkFace,259,TA,TA,CBlock,168500
1880,1991,Gable,VinylSd,VinylSd,None,0,TA,TA,BrkTil,124000
2006,2006,Gable,VinylSd,VinylSd,Stone,108,Gd,TA,PConc,209500
1977,1977,Hip,Plywood,Plywood,BrkFace,209,TA,Gd,CBlock,82500
1954,2005,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,139400
1980,1980,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,144000
1954,1954,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,93000
2006,2006,Hip,VinylSd,VinylSd,None,0,Gd,TA,PConc,264561
2003,2004,Hip,MetalSd,MetalSd,BrkFace,472,Ex,TA,PConc,274000
2001,2001,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,226000
1972,1995,Gable,Plywood,Wd Sdng,None,0,Gd,TA,CBlock,345000
1969,1969,Mansard,WdShing,HdBoard,BrkFace,263,TA,TA,CBlock,152000
2009,2009,Gable,CemntBd,CmentBd,Stone,162,Ex,TA,PConc,370878
1971,1971,Hip,Plywood,Plywood,None,0,TA,TA,CBlock,143250
1953,1953,Hip,Wd Sdng,Wd Sdng,Stone,216,TA,TA,CBlock,155000
1966,1966,Gable,MetalSd,MetalSd,BrkFace,351,TA,TA,CBlock,155000
1940,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,108000
1996,1996,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,191000
1906,1995,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,135000
1995,1995,Hip,MetalSd,MetalSd,BrkFace,660,Gd,Gd,PConc,350000
1971,1971,Gable,HdBoard,ImStucc,BrkFace,381,TA,TA,CBlock,88000
1959,2006,Gable,HdBoard,HdBoard,BrkFace,54,Gd,TA,CBlock,145500
1931,2000,Gable,Stucco,Wd Shng,None,0,TA,Fa,BrkTil,149000
1948,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,97500
1964,1999,Hip,MetalSd,MetalSd,None,0,TA,Gd,PConc,167000
1976,1976,Gable,Plywood,Plywood,BrkFace,233,TA,TA,CBlock,197900
1994,2005,Hip,VinylSd,VinylSd,BrkFace,528,Gd,TA,PConc,402000
1968,1968,Hip,Wd Sdng,Wd Sdng,BrkFace,216,TA,TA,CBlock,110000
1972,1972,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,137500
2005,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,423000
2000,2000,Gable,VinylSd,VinylSd,BrkFace,40,Gd,TA,PConc,230500
1965,1979,Flat,Plywood,Plywood,BrkCmn,113,TA,Gd,CBlock,129000
1994,1998,Gable,HdBoard,HdBoard,BrkFace,258,TA,TA,PConc,193500
1956,1987,Gable,CemntBd,Wd Sdng,None,0,TA,TA,CBlock,168000
1922,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,137500
2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,173500
1925,1950,Gambrel,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,103600
1977,1977,Gable,Plywood,Plywood,None,0,Gd,TA,CBlock,165000
1957,2004,Hip,CemntBd,CmentBd,BrkFace,106,TA,TA,PConc,257500
1965,1965,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,140000
1978,1978,Gable,Plywood,Brk Cmn,None,0,TA,TA,CBlock,148500
1900,1950,Gable,AsbShng,Stucco,None,0,TA,TA,BrkTil,87000
1924,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,BrkTil,109500
2008,2008,Hip,VinylSd,VinylSd,Stone,464,Gd,TA,PConc,372500
1961,1961,Hip,Wd Sdng,Wd Sdng,BrkFace,57,TA,TA,CBlock,128500
1980,1980,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,143000
1932,2000,Gable,VinylSd,Stucco,None,0,TA,TA,BrkTil,159434
1996,1997,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,173000
2002,2002,Hip,VinylSd,VinylSd,Stone,215,Gd,TA,PConc,285000
1998,1998,Gable,VinylSd,VinylSd,BrkFace,30,Gd,TA,PConc,221000
1984,1984,Gable,HdBoard,HdBoard,None,0,Gd,TA,CBlock,207500
2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,227875
2004,2004,Gable,MetalSd,MetalSd,None,0,Gd,TA,PConc,148800
2007,2007,Gable,MetalSd,MetalSd,BrkFace,0,Gd,TA,PConc,392000
2005,2006,Gable,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,194700
2004,2004,Gable,VinylSd,VinylSd,BrkFace,147,Gd,TA,PConc,141000
1994,1995,Gable,HdBoard,HdBoard,BrkFace,1170,Ex,TA,PConc,755000
1989,1990,Hip,MetalSd,MetalSd,BrkFace,293,Gd,TA,PConc,335000
1921,1968,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,108480
1936,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,Fa,BrkTil,141500
1987,1987,Gable,HdBoard,HdBoard,BrkFace,72,TA,TA,CBlock,176000
1921,1950,Gable,Wd Sdng,Wd Shng,None,0,TA,TA,CBlock,89000
1952,1952,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,123500
1965,2009,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,138500
2004,2004,Gable,MetalSd,MetalSd,None,0,Gd,TA,PConc,196000
2002,2002,Hip,VinylSd,VinylSd,BrkFace,630,Gd,TA,PConc,312500
1969,1969,Hip,HdBoard,HdBoard,BrkFace,168,TA,TA,CBlock,140000
2006,2006,Hip,VinylSd,VinylSd,BrkFace,466,Ex,TA,PConc,361919
1900,1996,Gable,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,140000
2004,2005,Gable,VinylSd,VinylSd,BrkFace,109,Gd,TA,PConc,213000
1971,2002,Gable,Plywood,Plywood,Stone,351,TA,TA,CBlock,302000
2006,2006,Hip,MetalSd,MetalSd,BrkFace,176,Gd,TA,PConc,254000
2007,2007,Hip,VinylSd,VinylSd,None,0,Gd,TA,PConc,179540
1966,1966,Gable,HdBoard,HdBoard,BrkCmn,41,TA,TA,PConc,109900
1900,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,Stone,102776
1988,1989,Gable,HdBoard,HdBoard,None,0,Gd,TA,PConc,189000
1970,1970,Gable,HdBoard,HdBoard,BrkFace,160,TA,TA,CBlock,129000
1976,2005,Gable,HdBoard,Plywood,BrkFace,289,Gd,TA,CBlock,130500
1974,1974,Hip,HdBoard,HdBoard,BrkFace,174,TA,TA,CBlock,165000
1890,1998,Gable,Wd Sdng,VinylSd,None,0,TA,Gd,BrkTil,159500
1973,2000,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,157000
