BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,GrLivArea,SalePrice
TA,ALQ,312,444,756,Fa,N,FuseF,756,1134,126000
TA,BLQ,775,281,1056,Ex,Y,SBrkr,1056,1056,142000
Gd,GLQ,1309,35,1344,Ex,Y,SBrkr,1344,1344,206300
Gd,ALQ,1246,356,1602,Gd,Y,SBrkr,1602,1602,215000
TA,Unf,0,988,988,Ex,Y,FuseA,988,988,113000
Gd,GLQ,986,484,1470,Gd,Y,SBrkr,1470,2630,315000
Gd,LwQ,616,580,1196,Gd,Y,FuseA,1196,1196,139000
TA,Unf,0,651,651,Gd,Y,SBrkr,707,1389,135000
Gd,GLQ,1518,0,1518,Gd,Y,SBrkr,1644,1644,275000
TA,Rec,288,619,907,Ex,Y,SBrkr,907,907,109008
Gd,GLQ,664,544,1208,Ex,Y,SBrkr,1208,1208,195400
Gd,GLQ,1005,387,1392,TA,Y,SBrkr,1412,1412,175000
TA,ALQ,387,96,483,TA,Y,SBrkr,483,987,85400
TA,ALQ,471,294,765,Ex,Y,SBrkr,765,1365,122500
Gd,Unf,0,926,926,Ex,Y,SBrkr,926,1604,181000
Gd,GLQ,385,70,799,Ex,Y,SBrkr,827,1661,212000
Fa,Unf,0,648,648,TA,Y,FuseA,734,1118,116000
TA,Unf,0,884,884,Gd,Y,SBrkr,904,904,119000
TA,LwQ,365,75,440,TA,N,SBrkr,694,694,90350
TA,Unf,0,684,684,Gd,Y,SBrkr,684,1196,110000
Ex,GLQ,1767,788,3094,Ex,Y,SBrkr,2402,2402,555000
TA,Unf,0,1078,1078,TA,Y,SBrkr,1128,1573,162900
Ex,Unf,0,1258,1258,Ex,Y,SBrkr,1258,1258,172500
Gd,GLQ,642,273,915,Ex,Y,SBrkr,933,1908,210000
TA,Unf,0,1436,1436,Fa,Y,SBrkr,1689,1689,127500
TA,ALQ,247,557,1517,Ex,Y,SBrkr,1888,1888,190000
Gd,Unf,0,930,930,Gd,Y,SBrkr,956,1886,199900
TA,Unf,0,780,780,TA,Y,SBrkr,780,1376,119500
TA,ALQ,331,318,649,Ex,Y,SBrkr,679,1183,120000
TA,Unf,0,813,813,Ex,Y,FuseA,813,813,110000
Gd,ALQ,655,878,1533,TA,Y,SBrkr,1533,1533,280000
Ex,ALQ,742,130,872,Ex,Y,SBrkr,888,1756,204000
Gd,Unf,0,768,768,Ex,Y,SBrkr,786,1590,210000
TA,ALQ,1606,122,1728,TA,Y,SBrkr,1728,1728,188000
TA,ALQ,916,326,1242,Fa,Y,SBrkr,1242,1242,175500
TA,Unf,0,624,624,Fa,N,SBrkr,624,1344,98000
Gd,BLQ,1116,248,1364,Ex,Y,SBrkr,1663,1663,256000
TA,Unf,0,588,588,Fa,Y,SBrkr,833,1666,161000
TA,LwQ,185,524,709,TA,Y,SBrkr,979,1203,110000
Gd,GLQ,544,288,832,Ex,Y,SBrkr,832,1935,263435
Gd,ALQ,350,0,560,Ex,Y,SBrkr,575,1135,155000
TA,Rec,553,0,864,Gd,Y,SBrkr,864,864,62383
TA,LwQ,326,389,715,Fa,Y,FuseA,849,1660,188700
Gd,Unf,0,1375,1375,Ex,Y,SBrkr,1414,1414,178740
TA,GLQ,778,499,1277,TA,Y,SBrkr,1277,1277,167000
TA,LwQ,386,342,728,Ex,Y,SBrkr,888,1644,146500
Gd,Unf,0,1626,1626,Ex,Y,SBrkr,1634,1634,250000
Gd,GLQ,426,406,832,Ex,Y,SBrkr,832,1710,187000
Gd,GLQ,368,0,1488,TA,Y,SBrkr,1502,1502,212000
Gd,Unf,0,808,808,TA,Y,SBrkr,1161,1969,190000
Gd,GLQ,459,88,547,Ex,Y,SBrkr,1072,1072,148000
Ex,GLQ,1350,626,1976,Ex,Y,SBrkr,1976,1976,440000
Gd,GLQ,1196,298,1494,Ex,Y,SBrkr,1652,1652,251000
TA,GLQ,630,340,970,TA,Y,SBrkr,970,970,132500
Gd,GLQ,994,484,1478,Ex,Y,SBrkr,1493,1493,208900
Gd,Unf,0,2153,2153,Ex,Y,SBrkr,2069,2643,380000
Ex,GLQ,1288,417,1705,Ex,Y,SBrkr,1718,1718,297000
Fa,Rec,168,739,907,TA,Y,SBrkr,1131,1131,89471
Ex,GLQ,1261,572,1833,Ex,Y,SBrkr,1850,1850,326000
Ex,GLQ,1567,225,1792,Ex,Y,SBrkr,1792,1792,374000
TA,ALQ,299,611,910,Ex,Y,SBrkr,916,1826,155000
Ex,GLQ,897,319,1216,Ex,Y,SBrkr,1216,1216,164000
TA,ALQ,588,411,999,Gd,Y,SBrkr,999,999,132500
TA,ALQ,607,506,1113,Gd,Y,SBrkr,1113,1113,147000
TA,ALQ,836,237,1073,TA,Y,SBrkr,1073,1073,156000
Gd,ALQ,998,486,1484,Gd,Y,SBrkr,1484,1484,175000
TA,BLQ,664,290,954,TA,N,FuseA,1766,2414,160000
Gd,GLQ,515,115,630,TA,Y,SBrkr,630,630,86000
Gd,Unf,0,264,264,TA,Y,SBrkr,616,1304,115000
TA,BLQ,403,238,806,TA,Y,FuseA,958,1578,133000
Gd,Unf,0,728,728,Gd,Y,SBrkr,728,1456,172785
TA,BLQ,374,363,1269,TA,Y,FuseA,1269,1269,155000
Fa,Unf,0,190,190,Gd,Y,FuseA,886,886,91300
Gd,GLQ,1231,1969,3200,Ex,Y,SBrkr,3228,3228,430000
TA,Rec,329,697,1026,Ex,Y,SBrkr,1133,1820,184000
TA,ALQ,450,414,864,Ex,Y,SBrkr,899,899,130000
TA,BLQ,111,522,912,Fa,Y,SBrkr,912,912,120000
TA,BLQ,356,316,672,TA,Y,SBrkr,672,1218,113000
Gd,GLQ,400,466,866,Gd,Y,SBrkr,866,1768,226700
TA,ALQ,698,420,1214,Ex,Y,SBrkr,1214,1214,140000
TA,ALQ,1247,254,1501,TA,Y,SBrkr,1801,1801,289000
TA,ALQ,257,103,855,TA,Y,SBrkr,855,1322,147000
TA,Unf,0,960,960,Gd,Y,SBrkr,960,1960,124500
Gd,GLQ,380,397,777,Ex,Y,SBrkr,1065,1911,215000
Gd,GLQ,27,1191,1218,Ex,Y,SBrkr,1218,1218,208300
TA,Rec,141,548,689,Ex,Y,SBrkr,689,1378,161000
TA,ALQ,991,50,1041,Ex,Y,SBrkr,1041,1041,124500
TA,BLQ,650,178,1008,Ex,Y,SBrkr,1363,1363,164900
Gd,Unf,0,1368,1368,Ex,Y,SBrkr,1368,1368,202665
TA,BLQ,521,169,864,TA,Y,SBrkr,864,864,129900
TA,ALQ,336,748,1084,TA,Y,SBrkr,1080,1080,134000
TA,Unf,0,768,768,Fa,N,SBrkr,789,789,96500
Ex,GLQ,1436,570,2006,Ex,Y,SBrkr,2020,2020,402861
TA,Unf,0,689,689,TA,Y,SBrkr,1378,2119,158000
Gd,Unf,0,1264,1264,Ex,Y,SBrkr,1277,2344,265000
Gd,GLQ,706,88,794,Ex,Y,SBrkr,882,1796,211000
Gd,Unf,0,1276,1276,Ex,Y,SBrkr,1276,2080,234000
TA,Rec,777,467,1244,Ex,Y,FuseA,1244,1244,150000
TA,ALQ,399,605,1004,Ex,Y,SBrkr,1004,1664,159000
Ex,GLQ,2260,878,3138,Ex,Y,SBrkr,3138,4676,184750
Gd,GLQ,719,660,1379,Ex,Y,SBrkr,1383,2398,315750
Gd,Unf,0,1257,1257,Ex,Y,SBrkr,1266,1266,176000
Gd,Rec,377,551,928,TA,Y,SBrkr,928,928,132000
Ex,GLQ,1330,122,1452,Ex,Y,SBrkr,1476,2713,446261
Gd,GLQ,783,678,1461,Ex,Y,SBrkr,1509,1509,175000
Fa,Unf,0,611,611,Ex,Y,SBrkr,751,1362,128000
Ex,Unf,0,707,707,Ex,Y,SBrkr,707,1414,178000
Gd,Unf,0,880,880,Ex,Y,SBrkr,880,1724,188000
TA,BLQ,600,264,864,TA,Y,SBrkr,864,864,111250
TA,BLQ,673,378,1051,TA,Y,SBrkr,1159,1159,158000
Gd,GLQ,1358,223,1581,Ex,Y,SBrkr,1601,1601,272000
Ex,GLQ,1260,578,1838,Ex,Y,SBrkr,1838,1838,315000
Gd,Unf,0,969,969,Ex,Y,SBrkr,997,2285,248000
Ex,LwQ,144,379,1650,Ex,Y,SBrkr,1680,1680,213250
Gd,GLQ,584,0,723,Ex,Y,SBrkr,767,767,133000
Gd,GLQ,554,100,654,Ex,Y,SBrkr,664,1496,179665
Gd,GLQ,1002,0,1204,Gd,Y,SBrkr,1377,2183,229000
Gd,Rec,300,765,1065,Ex,Y,FuseA,915,1635,210000
Gd,ALQ,619,149,768,Ex,Y,SBrkr,768,768,129500
TA,LwQ,180,0,825,TA,Y,SBrkr,825,825,125000
Gd,Unf,0,912,912,Ex,Y,SBrkr,912,2094,263000
Gd,ALQ,559,510,1069,TA,Y,SBrkr,1069,1069,140000
TA,Rec,308,620,928,Gd,Y,FuseA,928,928,112500
Ex,Unf,0,1709,1709,Ex,Y,SBrkr,1717,1717,255500
Gd,GLQ,866,132,998,Ex,Y,SBrkr,1006,2046,284000
TA,Unf,0,993,993,TA,Y,FuseA,1048,1048,113000
TA,Rec,895,197,1092,TA,Y,FuseA,1092,1092,141000
TA,Rec,637,0,637,Gd,Y,SBrkr,897,1336,108000
Gd,GLQ,604,125,729,Ex,Y,SBrkr,729,1446,175000
Gd,Unf,0,1374,1374,Ex,Y,SBrkr,1557,1557,234000
Gd,ALQ,1302,90,1392,TA,Y,SBrkr,1392,1392,121500
Gd,ALQ,1071,195,1389,Gd,Y,SBrkr,1389,1389,170000
Gd,Unf,0,1163,1163,Ex,Y,SBrkr,1163,1674,185000
Gd,GLQ,728,367,1095,Ex,Y,SBrkr,1166,2295,268000
Gd,Unf,0,806,806,TA,N,FuseF,841,1647,128000
Gd,Unf,0,1122,1122,Ex,Y,SBrkr,1134,2504,325000
Gd,GLQ,2,1515,1517,Ex,Y,SBrkr,1535,1535,214000
Gd,GLQ,1441,55,1496,Ex,Y,SBrkr,1496,2132,316600
Gd,GLQ,943,0,943,TA,Y,SBrkr,943,943,135960
TA,LwQ,231,1497,1728,TA,Y,SBrkr,1728,1728,142600
TA,BLQ,414,450,864,Ex,Y,SBrkr,864,864,120000
Ex,Unf,0,846,846,Gd,Y,SBrkr,846,1692,224500
Gd,Unf,0,384,384,Ex,Y,SBrkr,774,1430,170000
TA,ALQ,349,23,372,TA,Y,SBrkr,576,1109,139000
TA,Rec,442,390,832,TA,Y,SBrkr,832,1216,118500
TA,Unf,0,861,861,Gd,Y,SBrkr,877,1477,145000
TA,LwQ,328,285,1164,Ex,Y,SBrkr,1320,1320,164500
Gd,Unf,0,689,689,Ex,Y,SBrkr,703,1392,146000
TA,Unf,0,1050,1050,Ex,N,FuseF,1050,1795,131500
TA,BLQ,594,331,1144,Ex,Y,SBrkr,1429,1429,181900
Ex,Unf,0,2042,2042,Ex,Y,SBrkr,2042,2042,253293
TA,Unf,0,1237,1237,Gd,Y,SBrkr,1521,2775,325000
TA,Unf,0,884,884,Ex,Y,SBrkr,989,1573,133000
Ex,GLQ,1460,408,1868,Ex,Y,SBrkr,2028,2028,369900
TA,Rec,210,0,816,Ex,Y,SBrkr,838,838,130000
TA,ALQ,672,168,840,TA,Y,SBrkr,860,860,137000
TA,GLQ,1324,113,1437,Ex,Y,SBrkr,1473,1473,143000
TA,Unf,0,742,742,TA,Y,FuseA,779,935,79500
Gd,GLQ,490,280,770,Ex,Y,SBrkr,770,1582,185900
Ex,GLQ,1338,384,1722,Ex,Y,SBrkr,1728,2296,451950
TA,GLQ,816,0,816,Ex,Y,SBrkr,816,816,138000
Gd,GLQ,685,163,848,Ex,Y,SBrkr,848,848,140000
Gd,Unf,0,924,924,TA,Y,SBrkr,924,924,110000
Gd,GLQ,1422,392,1814,Ex,Y,SBrkr,1826,1826,319000
TA,Unf,0,684,684,Ex,N,FuseA,684,1368,114504
Ex,Unf,0,1258,1258,Ex,Y,SBrkr,1402,1402,194201
Gd,ALQ,1283,0,1430,Ex,Y,SBrkr,1647,1647,217500
Gd,LwQ,81,23,716,TA,Y,SBrkr,716,1556,151000
Gd,GLQ,546,512,1058,Ex,Y,SBrkr,1058,1904,275000
TA,Unf,0,780,780,TA,Y,SBrkr,780,1375,141000
Gd,GLQ,789,119,908,Ex,Y,SBrkr,927,1915,220000
Gd,Unf,0,600,600,Ex,Y,SBrkr,600,1200,151000
Gd,GLQ,922,572,1494,Ex,Y,SBrkr,1494,1494,221000
TA,BLQ,454,314,768,TA,Y,SBrkr,1186,1986,205000
Gd,GLQ,732,308,1040,Gd,Y,SBrkr,1040,1040,152000
TA,GLQ,603,293,896,Ex,Y,SBrkr,1112,2008,225000
Gd,BLQ,428,537,965,TA,Y,SBrkr,1940,3194,359100
TA,Rec,903,126,1029,Gd,Y,SBrkr,1029,1029,118500
Ex,GLQ,904,536,1440,Ex,Y,SBrkr,1476,2153,313000
Gd,ALQ,605,427,1032,TA,Y,SBrkr,1032,1032,148000
Gd,GLQ,990,309,1299,Ex,Y,SBrkr,1299,1872,261500
TA,GLQ,763,173,936,Ex,Y,SBrkr,1054,1054,137500
Gd,GLQ,457,326,783,Ex,Y,SBrkr,807,1509,183200
TA,Unf,0,832,832,Gd,Y,SBrkr,832,832,105500
Ex,GLQ,48,1774,1822,Ex,Y,SBrkr,1828,1828,314813
Gd,GLQ,871,611,1482,Ex,Y,SBrkr,1482,2262,305000
TA,ALQ,956,384,1522,TA,Y,SBrkr,1548,2614,240000
TA,BLQ,560,420,980,TA,Y,SBrkr,980,980,135000
Gd,GLQ,420,336,756,Ex,Y,SBrkr,756,1512,168500
TA,Rec,247,485,732,Gd,Y,SBrkr,1012,1790,165150
TA,Unf,0,1116,1116,TA,Y,SBrkr,1116,1116,160000
TA,Unf,0,978,978,TA,Y,SBrkr,1422,1422,139900
TA,BLQ,674,350,1156,Ex,Y,SBrkr,1520,1520,153000
Gd,Rec,650,390,1040,TA,Y,SBrkr,1040,2080,135000
TA,GLQ,624,288,1248,TA,Y,SBrkr,1350,1350,168500
Fa,Unf,0,636,636,TA,Y,FuseA,1089,1750,124000
Gd,GLQ,24,1530,1554,Ex,Y,SBrkr,1554,1554,209500
TA,ALQ,822,564,1386,TA,Y,SBrkr,1411,1411,82500
TA,BLQ,480,108,1056,TA,Y,SBrkr,1056,1056,139400
TA,GLQ,1056,0,1056,Gd,Y,SBrkr,1056,1056,144000
TA,Unf,0,811,811,TA,Y,FuseA,811,1387,93000
Gd,GLQ,1154,366,1520,Ex,Y,SBrkr,1567,1567,264561
Ex,GLQ,1218,300,1518,Ex,Y,SBrkr,1518,1518,274000
Gd,GLQ,738,319,1057,Ex,Y,SBrkr,1057,1929,226000
Gd,GLQ,1410,542,1952,Gd,Y,SBrkr,2000,2704,345000
TA,Rec,493,0,780,Ex,Y,SBrkr,780,1620,152000
Ex,GLQ,1121,645,1766,Ex,Y,SBrkr,1766,1766,370878
TA,ALQ,282,664,981,TA,Y,SBrkr,981,981,143250
TA,Rec,500,594,1094,Ex,Y,SBrkr,1094,1094,155000
TA,Unf,0,756,756,TA,Y,SBrkr,1051,1839,155000
TA,Unf,0,755,755,TA,Y,SBrkr,755,1510,108000
Gd,Unf,0,880,880,Ex,Y,SBrkr,909,1716,191000
TA,Unf,0,756,756,Ex,Y,SBrkr,756,1469,135000
Gd,GLQ,1696,413,2109,Ex,Y,SBrkr,2113,2113,350000
TA,Unf,0,525,525,TA,Y,SBrkr,525,1092,88000
TA,ALQ,806,247,1053,Ex,Y,SBrkr,1053,1053,145500
Gd,Unf,0,776,776,TA,Y,SBrkr,851,1502,149000
TA,Unf,0,912,912,TA,Y,SBrkr,912,1458,97500
TA,BLQ,637,849,1486,Ex,Y,SBrkr,1486,1486,167000
Gd,Unf,0,793,793,TA,Y,SBrkr,1142,1935,197900
Gd,GLQ,1361,88,1629,Ex,Y,SBrkr,1686,2448,402000
Fa,Unf,0,1392,1392,Gd,Y,SBrkr,1392,1392,110000
Gd,BLQ,920,38,1138,TA,Y,SBrkr,1181,1181,137500
Ex,GLQ,1721,356,2077,Ex,Y,SBrkr,2097,2097,423000
Gd,Unf,0,1406,1406,Ex,Y,SBrkr,1454,1936,230500
Gd,LwQ,187,111,1021,TA,Y,SBrkr,1465,2380,129000
Gd,GLQ,1138,270,1408,Ex,Y,SBrkr,1679,1679,193500
TA,Rec,988,200,1188,Gd,Y,SBrkr,1437,1437,168000
Fa,Unf,0,700,700,Ex,Y,SBrkr,1180,1180,137500
Gd,GLQ,193,545,738,Ex,Y,SBrkr,738,1476,173500
TA,BLQ,551,121,672,TA,N,SBrkr,697,1369,103600
Gd,ALQ,767,441,1208,TA,Y,SBrkr,1208,1208,165000
TA,GLQ,1186,291,1477,Ex,Y,SBrkr,1839,1839,257500
TA,Rec,892,244,1136,TA,Y,SBrkr,1136,1136,140000
TA,ALQ,311,544,855,TA,Y,SBrkr,855,1441,148500
TA,Unf,0,1095,1095,Fa,N,SBrkr,1095,1774,87000
TA,Unf,0,768,768,Ex,Y,SBrkr,792,792,109500
Ex,Unf,0,2046,2046,Ex,Y,SBrkr,2046,2046,372500
TA,Rec,827,161,988,TA,Y,SBrkr,988,988,128500
Gd,BLQ,543,261,923,TA,Y,SBrkr,923,923,143000
TA,Rec,182,611,793,Ex,Y,SBrkr,848,1520,159434
Gd,GLQ,1003,288,1291,Ex,Y,SBrkr,1291,1291,173000
Gd,GLQ,1059,567,1626,Ex,Y,SBrkr,1668,1668,285000
Gd,Unf,0,1195,1195,Gd,Y,SBrkr,1195,1839,221000
Gd,GLQ,828,180,1190,Gd,Y,SBrkr,1190,2090,207500
Gd,Unf,0,874,874,Ex,Y,SBrkr,874,1761,227875
Gd,GLQ,239,312,551,Ex,Y,SBrkr,551,1102,148800
Gd,GLQ,945,474,1419,Ex,Y,SBrkr,1419,1419,392000
Gd,ALQ,20,1342,1362,Ex,Y,SBrkr,1362,1362,194700
Gd,GLQ,697,151,848,Ex,Y,SBrkr,848,848,141000
Ex,GLQ,1455,989,2444,Ex,Y,SBrkr,2444,4316,755000
Gd,GLQ,965,245,1210,Ex,Y,SBrkr,1238,2519,335000
TA,Unf,0,1073,1073,Ex,Y,SBrkr,1073,1073,108480
TA,Unf,0,927,927,TA,Y,SBrkr,1067,1539,141500
Gd,GLQ,980,92,1112,Gd,Y,SBrkr,1137,1137,176000
TA,LwQ,616,0,616,Gd,Y,SBrkr,616,616,89000
Ex,LwQ,210,219,980,Fa,Y,FuseA,1148,1148,123500
TA,GLQ,553,224,894,Ex,Y,SBrkr,894,894,138500
Gd,GLQ,16,1375,1391,Ex,Y,SBrkr,1391,1391,196000
Ex,GLQ,1274,526,1800,Ex,Y,SBrkr,1800,1800,312500
TA,Unf,0,1164,1164,TA,Y,SBrkr,1164,1164,140000
Ex,Unf,0,1234,1234,Ex,Y,SBrkr,1264,2576,361919
Gd,Unf,0,360,360,Gd,Y,SBrkr,1032,1812,140000
Gd,GLQ,712,761,1473,Ex,Y,SBrkr,1484,1484,213000
Gd,GLQ,1219,424,1643,TA,Y,SBrkr,1824,1824,302000
Gd,GLQ,863,461,1324,Ex,Y,SBrkr,1324,1324,254000
Gd,Unf,0,728,728,Ex,Y,SBrkr,728,1456,179540
TA,Unf,0,876,876,TA,Y,SBrkr,904,904,109900
TA,Unf,0,859,859,Gd,Y,SBrkr,859,1178,102776
Gd,GLQ,767,461,1228,Gd,Y,SBrkr,1228,1228,189000
TA,ALQ,789,171,960,TA,N,SBrkr,960,960,129000
TA,GLQ,533,192,725,Ex,Y,SBrkr,725,1479,130500
Gd,Unf,0,1064,1064,TA,Y,SBrkr,1350,1350,165000
TA,Unf,0,718,718,Ex,Y,SBrkr,1576,2554,159500
Gd,BLQ,1084,92,1176,Gd,Y,SBrkr,1178,1178,157000
Gd,GLQ,1173,138,1311,Ex,Y,SBrkr,1325,2418,341000
Gd,ALQ,523,448,971,TA,Y,SBrkr,971,971,128500
Gd,GLQ,1148,594,1742,TA,Y,SBrkr,1742,1742,275000
Gd,GLQ,662,186,848,Ex,Y,SBrkr,848,848,143000
TA,ALQ,191,673,864,Ex,Y,SBrkr,864,864,124500
TA,Unf,0,941,941,Ex,Y,SBrkr,997,1470,135000
Ex,GLQ,1234,464,1698,Ex,Y,SBrkr,1698,1698,320000
TA,ALQ,375,250,864,TA,Y,SBrkr,864,864,120500
Gd,GLQ,808,72,880,Ex,Y,SBrkr,1680,1680,222000
Gd,GLQ,724,508,1232,Ex,Y,SBrkr,1232,1232,194500
TA,Unf,0,1584,1584,TA,Y,SBrkr,1776,1776,110000
TA,BLQ,152,628,780,TA,Y,FuseA,848,1208,103000
Gd,GLQ,1180,415,1595,Ex,Y,SBrkr,1616,1616,236500
Ex,GLQ,786,82,868,Ex,Y,SBrkr,1146,1146,187500
Gd,ALQ,252,901,1153,Ex,Y,SBrkr,1153,2031,222500
TA,BLQ,594,270,864,Ex,Y,SBrkr,1144,1144,131400
TA,Unf,0,948,948,TA,Y,SBrkr,948,948,108000
Gd,Rec,390,490,880,Fa,N,SBrkr,880,1768,163000
Gd,Unf,0,893,893,Ex,Y,SBrkr,901,1801,239900
Gd,Unf,0,864,864,Ex,Y,SBrkr,864,1728,190000
Fa,Unf,0,264,264,Ex,Y,SBrkr,768,1432,132000
TA,GLQ,832,80,912,Gd,Y,SBrkr,912,912,142000
Gd,Unf,0,1349,1349,Ex,Y,SBrkr,1349,1349,179000
Gd,ALQ,444,76,520,Ex,Y,SBrkr,1464,1464,175000
Gd,GLQ,733,604,1337,Gd,Y,SBrkr,1337,1337,180000
TA,GLQ,575,487,1142,Ex,Y,SBrkr,1175,2715,299800
Gd,GLQ,300,652,952,Ex,Y,SBrkr,980,2256,236000
TA,Unf,0,1240,1240,TA,N,SBrkr,1320,2640,265979
Gd,GLQ,919,801,1720,Ex,Y,SBrkr,1720,1720,260400
Gd,Unf,0,660,660,Ex,Y,SBrkr,660,1320,162000
Gd,GLQ,1200,279,1479,Ex,Y,SBrkr,1494,1494,217000
Gd,Unf,0,1030,1030,Gd,Y,SBrkr,1038,2098,275500
TA,GLQ,439,115,1026,Gd,Y,SBrkr,1026,1026,156000
Gd,GLQ,381,348,729,Gd,Y,SBrkr,742,1471,172500
Gd,GLQ,20,846,866,Ex,Y,SBrkr,866,1768,212000
TA,Rec,438,234,672,TA,Y,SBrkr,672,1386,158900
Gd,ALQ,549,195,744,Gd,Y,SBrkr,757,1501,179400
Gd,LwQ,56,1198,1318,Ex,Y,SBrkr,1328,2531,290000
TA,Rec,612,252,864,Ex,Y,SBrkr,864,864,127500
TA,LwQ,405,740,1145,TA,Y,SBrkr,1301,1301,100000
Gd,GLQ,24,732,756,Ex,Y,SBrkr,764,1547,215200
Gd,GLQ,1163,89,1252,Ex,Y,SBrkr,1268,2365,337000
Gd,LwQ,437,0,1494,Ex,Y,SBrkr,1494,1494,270000
Gd,Unf,0,1498,1498,Ex,Y,SBrkr,1506,1506,264132
Gd,GLQ,394,586,980,TA,Y,SBrkr,980,1714,196500
Gd,ALQ,660,323,983,Ex,Y,SBrkr,983,1750,160000
Gd,GLQ,24,1836,1860,Ex,Y,SBrkr,1836,1836,216837
Gd,ALQ,1416,234,1650,Ex,Y,SBrkr,1690,3279,538000
Gd,GLQ,685,173,858,TA,Y,SBrkr,858,858,134900
Fa,LwQ,836,0,836,TA,Y,FuseF,1220,1220,102000
TA,ALQ,422,480,1029,TA,Y,SBrkr,1117,1117,107000
TA,Rec,456,456,912,Ex,Y,FuseA,912,912,114500
Gd,Unf,0,1935,1935,Gd,Y,SBrkr,1973,1973,395000
Ex,GLQ,866,338,1204,Ex,Y,SBrkr,1204,1204,162000
Gd,GLQ,20,1594,1614,Ex,Y,SBrkr,1614,1614,221500
TA,ALQ,762,102,864,TA,Y,SBrkr,894,894,142500
Gd,GLQ,975,0,975,TA,Y,SBrkr,1004,1004,135000
Gd,Unf,0,1237,1237,Gd,Y,SBrkr,1253,1253,176000
Gd,ALQ,387,374,761,Ex,Y,SBrkr,810,1603,175900
Gd,Unf,0,1413,1413,Ex,Y,SBrkr,1430,1430,187100
Gd,GLQ,1097,0,1097,Ex,Y,SBrkr,1110,1110,165500
TA,Rec,251,491,1372,TA,Y,SBrkr,1342,1342,161500
Fa,LwQ,686,0,686,TA,Y,SBrkr,966,1652,139000
Gd,GLQ,656,300,956,Ex,Y,SBrkr,956,2084,233000
TA,Unf,0,901,901,Ex,Y,SBrkr,901,901,107900
TA,LwQ,568,264,832,Gd,Y,SBrkr,976,2087,187500
Gd,GLQ,16,1129,1145,Ex,Y,SBrkr,1145,1145,160200
Gd,ALQ,539,490,1029,TA,Y,SBrkr,1062,1062,146800
Gd,GLQ,862,255,1117,Ex,Y,SBrkr,1127,2013,269790
Gd,Unf,0,1496,1496,Ex,Y,SBrkr,1496,1496,225000
Gd,Unf,0,712,712,Ex,Y,SBrkr,1086,1895,194500
Gd,Unf,0,650,650,TA,Y,SBrkr,888,1564,171000
TA,Unf,0,660,660,Ex,Y,SBrkr,1285,1285,143500
TA,BLQ,570,203,773,Gd,Y,SBrkr,773,773,110000
Ex,Unf,0,1926,1926,Ex,Y,SBrkr,1966,3140,485000
Gd,ALQ,569,162,731,Ex,Y,SBrkr,981,1768,175000
Gd,GLQ,462,154,616,Gd,Y,SBrkr,616,1688,200000
TA,LwQ,197,999,1196,Ex,Y,FuseA,1196,1196,109900
Gd,GLQ,648,80,728,Ex,Y,SBrkr,728,1456,189000
Ex,Unf,0,1734,1734,Ex,Y,SBrkr,1734,2822,582933
TA,LwQ,812,124,936,TA,Y,SBrkr,1128,1128,118000
Gd,Unf,0,1417,1417,Ex,Y,SBrkr,1428,1428,227680
TA,ALQ,400,100,980,Gd,Y,SBrkr,980,980,135500
TA,GLQ,1309,15,1324,Ex,Y,SBrkr,1072,1576,223500
TA,ALQ,516,380,1024,TA,Y,SBrkr,1086,1086,159950
TA,Unf,0,849,849,TA,N,FuseA,1075,2138,106000
TA,ALQ,663,0,1040,Fa,Y,SBrkr,1309,1309,181000
Gd,GLQ,662,186,848,Ex,Y,SBrkr,848,848,144500
TA,Unf,0,540,540,TA,N,FuseA,1044,1044,55993
TA,Rec,608,834,1442,Gd,Y,SBrkr,1442,1442,157900
TA,Unf,0,686,686,Gd,Y,SBrkr,686,1250,116000
Gd,Unf,0,1649,1649,Ex,Y,SBrkr,1661,1661,224900
TA,BLQ,486,522,1008,Gd,Y,SBrkr,1008,1008,137000
Gd,GLQ,1218,350,1568,Ex,Y,SBrkr,1689,1689,271000
TA,GLQ,504,506,1010,Gd,Y,SBrkr,1052,1052,155000
Gd,GLQ,733,625,1358,Ex,Y,SBrkr,1358,1358,224000
Gd,Unf,0,798,798,Ex,Y,SBrkr,798,1640,183000
Fa,Unf,0,936,936,TA,N,SBrkr,936,936,93000
Gd,Unf,0,847,847,Ex,Y,SBrkr,847,1733,225000
TA,Unf,0,778,778,TA,Y,SBrkr,944,1489,139500
Gd,Unf,0,1489,1489,Ex,Y,SBrkr,1489,1489,232600
Ex,GLQ,1636,442,2078,Ex,Y,SBrkr,2084,2084,385000
Gd,GLQ,20,1434,1454,Ex,Y,SBrkr,1434,1434,189000
TA,LwQ,249,0,1013,TA,Y,SBrkr,1160,2126,185000
Gd,Unf,0,600,600,Ex,Y,SBrkr,520,1223,147400
TA,Rec,1040,352,1392,TA,Y,FuseA,1392,1392,166000
Gd,Unf,0,600,600,Ex,Y,SBrkr,520,1200,151000
Gd,GLQ,483,458,941,Ex,Y,SBrkr,941,1829,237000
TA,Rec,196,975,1516,TA,Y,SBrkr,1516,1516,167000
TA,Rec,572,572,1144,Gd,Y,SBrkr,1144,1144,139950
